Sta_Des,Charlotte,Kannaapolis,Salisbury,High Point,Greensboro,Burlington,Durham,Cary,Raleigh,Selma,Wilson,Rocky Mount
Charlotte,0,24,42,75,93,114,158,179,195,239,269,287
Kannaapolis,24,0,18,51,72,93,134,155,171,215,245,263
Salisbury,42,18,0,33,51,72,116,137,153,197,227,245
High Point,75,51,33,0,18,39,83,104,120,164,194,212
Greensboro,93,72,51,18,0,21,65,86,102,146,176,194
Burlington,114,93,72,39,21,0,44,65,81,125,155,173
Durham,158,134,116,83,65,44,0,21,37,81,111,129
Cary,179,155,137,104,86,65,21,0,16,60,90,108
Raleigh,195,171,153,120,102,81,37,16,0,44,74,92
Selma,239,215,197,164,146,125,81,60,44,0,30,48
Wilson,269,245,227,194,176,155,111,90,74,30,0,18
Rocky Mount,287,263,245,212,194,173,129,108,92,48,18,0